student_id,department,specialization,current_year,semester,gender,cgpa,semester_gpa,cgpa_trend,backlog_count,internal_marks_avg,assignment_submission_rate,lab_performance_score,project_score,academic_risk_score,attendance_percentage,classes_missed,attendance_trend,lms_login_frequency,course_completion_rate,video_watch_percentage,quiz_attempt_rate,study_hours_per_week,club_participation_score,hackathon_count,technical_event_participation,leadership_score,extracurricular_score,fee_delay_days,scholarship_status,financial_stress_score,mentor_meetings_count,mentor_feedback_score,intervention_history_count,counseling_sessions,communication_score,presentation_score,teamwork_score,coding_score,aptitude_score,problem_solving_score,database_score,web_development_score,ai_ml_score,cloud_score,cybersecurity_score,linkedin_profile_score,resume_score,github_activity_score,portfolio_score,certification_count,career_readiness_score,mock_interview_score,group_discussion_score,placement_readiness_score,placement_probability,internship_count,industry_project_count,open_source_contributions,motivation_score,stress_score,time_management_score,consistency_score,academic_risk_band,dropout_risk_band,placement_risk_band,recommended_intervention,recommended_career_path,recommended_certification,recommended_course_track
STU202607971,Mechanical Engineering,CAD/CAM,First Year,1,Non-Binary,6.8,6.95,Upward,1,70.09,73.43,67.05,78.56,38.98,80.58,9,Improving,14,76.7,70.6,68.99,12,57.91,2,2,29.99,35.07,20,No Scholarship,55.32,6,42.61,0,1,56.34,45.9,42.16,34.32,55.92,57.37,62.47,55.11,42.51,61.03,51.88,51.17,56.15,41.67,63.9,0,49.52,51.97,49.96,44.4,24.37,0,1,0,36.5,93.17,29.14,51.54,Medium,Medium,High,Routine Academic Mentoring & Growth Tracking,Product Design Engineer,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
STU202607972,Information Technology,Information Security,Second Year,3,Female,8.78,8.38,Stable,1,74.7,78.92,83.14,69.44,31.53,86.25,6,Stable,16,89.31,72.85,77.08,24,30.02,3,2,53.01,36.46,0,Partial Scholarship,45.76,5,63.11,0,1,64.69,65.62,57.55,75.44,75.25,76.92,73.63,74.87,52.78,75.07,83.64,63.39,59.0,59.41,65.6,3,73.01,70.27,68.99,72.05,30.72,1,0,0,61.88,52.75,63.16,72.95,Low,Low,High,Routine Academic Mentoring & Growth Tracking,Cloud Solutions Architect,Google Cloud Professional Cloud Architect,Academic Support & Catch-Up Track
STU202607973,AI & ML,Machine Learning,Final Year,7,Male,9.06,9.11,Stable,0,83.16,85.42,92.07,81.86,17.56,91.11,4,Stable,21,76.14,91.03,86.57,26,40.24,0,2,62.52,41.77,15,Partial Scholarship,34.21,5,84.61,1,0,50.51,47.81,52.67,93.34,89.02,78.18,66.87,77.34,82.1,61.54,68.68,68.87,66.01,66.52,84.89,6,92.92,76.19,57.55,85.0,80.73,3,2,0,83.06,29.12,74.94,81.19,Low,Low,Low,Routine Academic Mentoring & Growth Tracking,AI/ML Research Specialist,AWS Certified Machine Learning Specialty,Research & Innovation Track
STU202607974,Information Technology,Enterprise Systems,Final Year,7,Female,8.0,8.34,Stable,2,75.43,79.54,70.79,65.09,48.93,87.04,6,Stable,20,80.47,83.18,65.92,19,80.37,1,3,55.25,60.38,1,Partial Scholarship,44.03,5,63.81,1,0,63.25,57.42,67.45,49.89,65.64,49.43,60.71,70.68,68.6,45.8,68.78,57.14,58.1,35.17,57.97,2,65.92,70.37,52.42,53.33,43.93,1,1,1,52.53,84.7,45.35,61.22,Medium,Medium,Medium,Routine Academic Mentoring & Growth Tracking,IT Systems Consultant,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
STU202607975,AI & ML,Computer Vision,Third Year,6,Male,7.42,7.3,Stable,1,71.54,93.2,67.62,77.49,39.85,77.48,10,Stable,11,70.99,66.69,78.34,12,73.53,1,5,65.86,77.65,0,No Scholarship,31.72,6,59.04,0,0,89.81,83.19,88.01,78.49,52.58,55.75,59.36,67.43,81.5,58.83,56.24,83.43,64.53,57.15,75.77,4,88.51,98.58,81.34,57.4,49.63,0,0,0,59.71,63.14,60.66,52.82,Medium,Medium,Medium,Routine Academic Mentoring & Growth Tracking,Full Stack Software Engineer,Microsoft Certified: Azure Developer Associate,Academic Support & Catch-Up Track
STU202607976,Information Technology,Data Analytics,Final Year,8,Male,9.02,9.36,Upward,0,86.03,96.55,90.78,78.01,8.6,99.37,0,Stable,22,87.18,74.94,90.1,20,70.35,2,3,56.26,83.12,3,Partial Scholarship,25.59,5,88.01,0,0,86.77,79.6,86.97,63.94,81.92,64.15,70.81,41.11,64.17,49.35,46.68,70.64,64.47,19.92,39.13,2,65.93,78.0,76.79,72.04,79.99,2,0,0,65.61,13.5,74.86,69.1,Low,Low,Low,Routine Academic Mentoring & Growth Tracking,IT Systems Consultant,Project Management Professional (PMP) Baseline,Placement Fast Track
STU202607977,Computer Engineering,Software Engineering,Third Year,5,Female,8.49,8.49,Downward,0,89.31,89.94,91.45,90.91,8.35,90.64,4,Improving,19,79.61,88.11,84.46,26,57.29,0,4,76.46,59.98,10,Partial Scholarship,30.89,5,75.38,0,0,63.45,71.45,78.0,78.91,80.92,72.63,67.67,66.63,80.42,78.79,84.61,71.95,71.77,60.38,67.61,3,76.1,67.23,86.54,64.25,62.75,0,1,1,62.55,20.33,78.25,69.32,Low,Low,Medium,Routine Academic Mentoring & Growth Tracking,AI/ML Research Specialist,AWS Certified Machine Learning Specialty,Entrepreneurship Track
STU202607978,Computer Engineering,Cloud Computing,Third Year,5,Female,7.26,6.97,Upward,0,60.33,68.76,63.97,59.96,23.75,77.04,10,Stable,16,74.25,81.92,74.42,21,38.7,4,4,54.97,53.48,10,No Scholarship,18.13,6,56.7,0,0,68.25,57.83,64.42,56.09,63.02,41.55,60.31,54.63,48.06,49.82,70.35,62.16,51.73,24.86,52.22,1,58.23,62.11,65.07,53.67,51.67,1,1,0,56.55,23.41,61.05,53.45,Low,Low,Medium,Routine Academic Mentoring & Growth Tracking,IT Systems Consultant,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
STU202607979,Civil Engineering,Environmental Engineering,Second Year,3,Female,6.95,6.75,Upward,2,70.0,68.99,82.48,63.43,56.17,78.46,10,Stable,7,69.59,62.66,71.77,15,51.89,1,2,31.91,37.31,6,No Scholarship,52.23,6,60.5,0,1,58.53,56.73,60.64,22.03,63.31,52.55,51.25,41.85,40.04,51.3,50.16,51.41,46.03,37.81,54.58,3,57.06,52.24,40.73,54.23,20.9,3,0,0,51.56,79.64,47.5,50.13,Medium,Medium,High,Routine Academic Mentoring & Growth Tracking,Structural & Infrastructure Planner,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
STU202607980,Computer Engineering,Cloud Computing,Second Year,4,Female,6.98,6.91,Stable,0,71.44,84.65,67.17,62.74,17.34,74.93,11,Stable,12,71.2,77.86,77.25,21,78.82,1,4,66.49,61.97,5,No Scholarship,24.54,6,43.06,5,1,97.05,91.12,89.94,72.55,66.43,69.03,71.74,85.4,52.04,72.05,58.61,77.93,64.68,32.2,62.67,4,92.53,78.87,96.42,68.22,31.78,1,2,0,59.52,31.12,50.02,58.77,Low,Low,High,Routine Academic Mentoring & Growth Tracking,Cloud Solutions Architect,Google Cloud Professional Cloud Architect,Academic Support & Catch-Up Track
STU202607981,Electronics & Telecommunication,Signal Processing,Second Year,3,Male,6.42,6.69,Downward,3,65.94,72.98,63.15,72.57,75.16,67.38,15,Improving,10,62.65,62.17,64.01,14,60.38,1,3,42.09,39.71,4,No Scholarship,31.73,6,40.21,1,0,62.26,55.11,61.8,39.07,47.78,51.99,58.34,55.47,31.74,47.8,53.51,53.92,48.87,43.52,54.05,1,51.66,49.34,63.41,41.08,10.98,1,0,0,49.77,100.0,27.21,38.86,High,High,Critical,Mandatory Peer Tutoring & Weekly Mentor Review,Core Electrical Grid Engineer,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
STU202607982,Mechanical Engineering,CAD/CAM,Third Year,6,Male,8.66,8.78,Stable,1,67.78,90.68,89.0,77.29,34.51,89.79,5,Declining,22,85.56,92.42,86.65,20,54.36,0,4,65.9,44.29,16,Fully Funded,45.93,5,70.94,0,0,71.35,75.12,67.3,40.07,79.9,70.7,73.59,68.13,66.34,67.27,56.99,69.55,68.74,63.23,73.99,2,71.55,57.6,67.2,46.05,53.9,0,0,1,71.19,35.03,79.21,80.21,Low,Low,Medium,Routine Academic Mentoring & Growth Tracking,Product Design Engineer,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
STU202607983,AI & Data Science,Big Data Engineering,Second Year,4,Female,8.24,7.86,Downward,0,74.12,94.64,75.48,69.64,15.31,82.77,8,Stable,18,90.77,77.62,85.57,30,51.49,1,3,53.41,81.78,4,Partial Scholarship,42.86,5,66.61,0,1,56.61,52.33,63.12,69.01,73.66,67.99,47.64,38.5,49.72,53.08,55.5,62.47,50.96,31.57,41.69,2,60.94,63.42,55.69,62.44,32.8,1,0,0,63.52,53.5,62.73,64.66,Low,Low,High,Routine Academic Mentoring & Growth Tracking,Full Stack Software Engineer,Microsoft Certified: Azure Developer Associate,Academic Support & Catch-Up Track
STU202607984,Electronics & Telecommunication,Embedded Systems,First Year,1,Male,9.86,9.9,Upward,0,81.45,91.96,85.07,82.67,11.0,96.85,1,Stable,21,96.62,91.17,92.07,30,58.11,1,3,87.53,48.65,27,Fully Funded,54.83,4,80.97,0,2,75.08,76.45,70.41,65.29,79.22,55.76,68.21,48.87,54.2,60.38,69.48,69.37,76.51,45.92,59.44,1,63.66,68.65,77.39,55.99,34.53,0,1,1,69.43,57.55,86.97,93.52,Low,Low,High,Routine Academic Mentoring & Growth Tracking,Core Electrical Grid Engineer,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
STU202607985,AI & Data Science,Business Intelligence,First Year,2,Male,7.06,7.49,Stable,0,72.31,79.28,62.71,81.58,22.14,81.77,8,Stable,10,82.13,61.59,76.23,19,48.33,1,6,46.35,38.16,3,No Scholarship,45.11,6,60.77,0,0,60.5,53.82,75.15,67.76,63.85,55.8,71.76,79.03,100.0,75.52,74.23,75.0,56.07,78.46,72.84,4,76.89,82.54,64.25,57.42,27.74,0,0,1,51.32,47.56,49.48,56.25,Low,Low,High,Routine Academic Mentoring & Growth Tracking,Cloud Solutions Architect,Google Cloud Professional Cloud Architect,Academic Support & Catch-Up Track
STU202607986,AI & ML,Machine Learning,Final Year,8,Female,9.4,9.27,Upward,0,84.46,84.04,95.46,87.92,12.03,88.6,5,Stable,27,86.11,95.06,87.72,27,45.54,0,3,69.47,60.46,4,Partial Scholarship,43.4,5,78.7,1,1,76.77,70.03,68.07,75.1,86.31,71.33,86.9,71.7,90.37,76.3,80.42,68.27,82.47,74.31,77.42,2,77.71,74.56,74.49,67.82,81.14,1,1,1,83.01,44.61,79.54,93.45,Low,Low,Low,Routine Academic Mentoring & Growth Tracking,AI/ML Research Specialist,AWS Certified Machine Learning Specialty,Research & Innovation Track
STU202607987,Civil Engineering,Environmental Engineering,First Year,1,Female,9.04,8.77,Stable,1,82.7,100.0,89.39,82.79,25.28,92.42,3,Stable,20,100.0,78.27,92.87,21,62.09,0,3,64.52,67.98,1,Fully Funded,61.83,4,79.51,0,3,45.5,45.52,47.46,53.28,95.74,79.84,90.72,59.79,47.55,67.33,82.25,48.43,70.26,50.66,71.19,4,72.61,60.93,53.36,53.58,29.34,0,0,0,80.81,51.14,71.07,87.76,Low,Low,High,Routine Academic Mentoring & Growth Tracking,Structural & Infrastructure Planner,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
STU202607988,Computer Engineering,Full Stack Development,First Year,1,Male,7.55,7.43,Stable,3,63.05,73.58,69.05,70.79,69.87,77.55,10,Stable,13,66.96,58.59,75.51,17,28.09,1,4,51.09,57.52,6,No Scholarship,32.8,6,48.63,0,1,42.6,50.63,44.68,70.24,63.53,64.86,70.09,75.08,62.14,70.11,65.87,37.42,49.64,50.66,71.16,3,60.97,66.18,39.15,48.59,12.54,0,1,0,58.36,78.04,31.4,54.62,High,Medium,Critical,Mandatory Peer Tutoring & Weekly Mentor Review,Cloud Solutions Architect,Google Cloud Professional Cloud Architect,Academic Support & Catch-Up Track
STU202607989,Information Technology,Data Analytics,Second Year,3,Female,8.8,8.7,Upward,0,83.57,91.98,81.83,82.24,14.68,90.77,4,Stable,17,75.21,92.96,87.45,28,80.82,4,5,100.0,81.68,0,Partial Scholarship,50.88,5,75.28,0,2,81.48,89.92,84.52,77.33,78.65,66.15,86.78,71.73,48.82,65.57,62.08,82.27,67.25,46.31,69.66,2,71.81,84.21,94.24,75.18,38.12,1,0,0,71.46,57.31,73.91,82.39,Low,Low,High,Routine Academic Mentoring & Growth Tracking,Full Stack Software Engineer,Microsoft Certified: Azure Developer Associate,Academic Support & Catch-Up Track
STU202607990,Computer Engineering,Software Engineering,Second Year,4,Female,8.11,7.97,Upward,1,79.42,78.73,68.76,75.94,38.67,75.06,11,Declining,16,75.78,72.63,78.47,19,95.42,0,3,55.6,69.93,0,Partial Scholarship,47.42,5,66.33,0,0,72.43,65.22,65.7,86.56,66.67,78.43,65.17,60.38,55.02,67.01,83.18,64.21,52.96,67.49,66.84,3,71.98,78.79,60.15,66.5,30.36,1,0,1,61.17,54.27,57.15,66.37,Medium,Medium,High,Routine Academic Mentoring & Growth Tracking,Cybersecurity Analyst,CompTIA Security+,Academic Support & Catch-Up Track
STU202607991,AI & ML,Deep Learning,Second Year,3,Female,8.0,8.06,Stable,0,71.16,85.44,76.39,75.14,13.57,79.9,9,Stable,15,86.92,62.23,77.8,20,48.4,4,3,44.33,34.02,4,No Scholarship,22.42,5,69.49,0,0,65.57,55.99,44.78,85.45,68.69,63.09,77.99,50.1,89.94,75.22,84.41,51.46,68.18,50.75,59.1,5,85.79,66.32,55.13,64.59,30.69,0,1,1,67.79,34.24,60.42,76.95,Low,Low,High,Routine Academic Mentoring & Growth Tracking,Cloud Solutions Architect,Google Cloud Professional Cloud Architect,Academic Support & Catch-Up Track
STU202607992,Electrical Engineering,Power Systems,First Year,2,Male,8.19,8.25,Stable,0,76.36,84.01,81.6,82.54,24.16,81.28,8,Stable,18,81.15,83.56,80.87,26,30.43,0,2,45.15,35.35,10,Partial Scholarship,57.64,5,65.19,0,2,64.53,59.59,51.7,52.65,71.03,67.36,35.9,52.41,42.43,45.59,47.87,75.63,49.89,39.72,64.65,2,65.17,81.81,67.93,50.76,27.95,0,1,0,72.67,66.45,65.8,52.86,Low,Low,High,Routine Academic Mentoring & Growth Tracking,Core Electrical Grid Engineer,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
STU202607993,Civil Engineering,Environmental Engineering,First Year,2,Male,8.26,8.03,Upward,0,73.01,77.44,79.39,76.58,18.46,83.66,7,Stable,20,72.73,71.16,80.51,19,71.66,2,3,58.15,55.0,9,Partial Scholarship,32.9,5,66.81,2,1,51.03,44.42,55.76,63.29,67.91,81.0,68.04,57.45,20.7,69.91,65.97,49.29,65.33,46.07,63.09,3,67.36,62.2,68.59,60.82,31.17,0,1,0,71.78,61.12,71.15,75.78,Low,Low,High,Routine Academic Mentoring & Growth Tracking,Structural & Infrastructure Planner,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
STU202607994,Computer Engineering,Software Engineering,Final Year,7,Male,7.28,7.0,Stable,0,73.83,69.2,79.31,78.41,20.09,81.91,8,Stable,10,66.64,61.12,74.91,14,64.31,1,4,67.44,40.43,1,No Scholarship,20.35,6,43.98,0,1,75.22,65.76,72.93,70.41,45.79,55.65,59.27,79.66,60.1,82.01,68.2,75.13,70.55,49.26,68.75,2,71.33,78.98,67.68,64.26,60.24,2,0,1,57.65,32.47,68.02,46.08,Low,Low,Medium,Routine Academic Mentoring & Growth Tracking,Full Stack Software Engineer,Microsoft Certified: Azure Developer Associate,Academic Support & Catch-Up Track
STU202607995,Computer Engineering,Cloud Computing,Final Year,8,Male,8.69,8.5,Downward,0,97.84,88.96,75.75,83.26,12.51,86.86,6,Stable,19,89.53,81.77,78.23,23,84.67,1,3,33.4,67.19,4,Partial Scholarship,44.05,5,72.49,1,1,55.23,51.83,59.5,67.61,74.04,68.59,47.62,66.51,45.05,51.14,58.95,45.6,53.64,38.93,72.53,1,57.14,69.46,52.55,63.67,63.81,1,0,0,56.63,32.26,58.99,60.53,Low,Low,Medium,Routine Academic Mentoring & Growth Tracking,Full Stack Software Engineer,Microsoft Certified: Azure Developer Associate,Academic Support & Catch-Up Track
STU202607996,Computer Engineering,Software Engineering,First Year,2,Male,8.75,8.52,Stable,0,82.66,96.28,84.61,86.58,7.22,93.7,3,Stable,21,91.9,78.9,86.81,26,60.59,1,4,44.95,66.5,3,Partial Scholarship,30.24,5,76.07,0,0,90.7,78.2,75.95,79.93,86.64,78.97,84.58,86.81,85.2,87.77,96.94,73.61,75.82,73.09,81.82,2,85.7,87.6,83.93,69.14,38.35,0,2,0,69.19,43.16,67.18,84.69,Low,Low,High,Routine Academic Mentoring & Growth Tracking,AI/ML Research Specialist,AWS Certified Machine Learning Specialty,Research & Innovation Track
STU202607997,Civil Engineering,Structural Engineering,Third Year,6,Male,8.0,7.67,Upward,0,85.94,79.13,77.24,77.52,14.92,86.33,6,Stable,14,87.02,87.05,84.61,15,64.51,4,4,42.76,54.96,0,No Scholarship,13.05,5,65.37,1,0,55.47,53.84,61.17,47.17,60.35,58.9,69.77,32.95,43.79,67.04,51.04,53.59,49.36,66.14,58.5,2,65.1,63.99,48.07,56.58,57.98,0,2,1,60.12,30.59,66.17,70.45,Low,Low,Medium,Routine Academic Mentoring & Growth Tracking,Structural & Infrastructure Planner,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
STU202607998,Information Technology,Information Security,Third Year,6,Male,7.18,6.76,Upward,2,68.45,79.96,81.35,78.13,50.15,80.54,9,Stable,15,72.95,83.62,79.84,18,61.57,1,4,54.18,40.17,2,No Scholarship,61.77,6,58.86,0,3,49.91,49.5,57.88,84.44,57.19,67.1,71.11,76.87,66.65,65.75,65.17,70.35,50.66,66.49,70.98,1,63.33,61.05,53.9,68.29,42.47,2,1,1,53.21,62.73,61.65,53.65,Medium,Medium,Medium,Routine Academic Mentoring & Growth Tracking,Full Stack Software Engineer,Microsoft Certified: Azure Developer Associate,Academic Support & Catch-Up Track
STU202607999,Information Technology,Data Analytics,Third Year,6,Female,9.59,9.32,Downward,0,85.12,95.47,100.0,91.9,7.71,95.66,2,Stable,25,99.31,95.72,95.27,30,62.0,2,5,52.68,62.92,6,Partial Scholarship,25.61,4,92.99,0,0,62.63,56.07,52.59,88.96,90.54,84.6,71.48,73.29,76.34,85.64,100.0,74.14,74.45,99.62,87.27,5,88.15,66.56,70.82,79.0,84.18,1,1,0,79.93,30.13,82.41,75.76,Low,Low,Low,Routine Academic Mentoring & Growth Tracking,AI/ML Research Specialist,AWS Certified Machine Learning Specialty,Research & Innovation Track
STU202608000,Electronics & Telecommunication,Embedded Systems,Second Year,4,Male,6.39,6.22,Downward,1,53.23,74.32,68.38,64.6,42.71,70.99,13,Stable,4,71.21,58.81,70.14,7,44.83,3,5,50.32,31.65,17,No Scholarship,69.21,6,53.62,4,0,45.45,47.28,44.59,47.31,41.01,52.91,62.33,59.34,59.81,62.08,70.03,45.91,36.45,46.89,65.14,1,53.33,48.06,50.86,45.01,17.21,0,1,1,45.93,91.0,42.61,32.27,Medium,Medium,Critical,Routine Academic Mentoring & Growth Tracking,Core Electrical Grid Engineer,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
STU202608001,Computer Engineering,Cloud Computing,Second Year,4,Female,7.55,7.55,Stable,0,65.12,76.61,68.04,64.9,28.74,78.53,10,Stable,18,65.74,68.65,76.89,18,32.44,1,5,36.53,48.9,12,No Scholarship,33.87,6,49.87,1,0,30.0,32.03,41.88,68.45,71.7,60.8,66.67,46.24,61.54,59.94,89.95,49.74,54.41,51.3,51.24,3,66.74,52.97,30.0,55.04,26.95,1,3,0,57.64,34.3,54.03,65.96,Low,Low,High,Routine Academic Mentoring & Growth Tracking,Cybersecurity Analyst,CompTIA Security+,Academic Support & Catch-Up Track
STU202608002,AI & Data Science,Data Science,Third Year,6,Female,9.07,9.07,Stable,1,84.59,94.69,79.49,82.55,29.92,94.92,2,Stable,19,90.76,79.1,97.17,23,69.67,1,5,64.66,67.03,1,Fully Funded,79.48,5,79.28,0,2,60.76,64.19,57.23,96.47,87.47,85.04,81.12,71.8,100.0,89.85,72.85,87.32,76.47,72.49,73.21,1,67.54,84.73,54.71,77.56,69.88,1,0,0,68.95,69.53,64.24,94.1,Low,Medium,Low,Routine Academic Mentoring & Growth Tracking,AI/ML Research Specialist,AWS Certified Machine Learning Specialty,Academic Support & Catch-Up Track
STU202608003,Computer Engineering,Software Engineering,Second Year,3,Male,8.35,8.21,Stable,0,76.79,77.76,87.9,85.22,9.51,93.84,3,Declining,17,84.97,71.56,89.48,14,65.66,1,3,68.3,83.49,0,Partial Scholarship,27.41,5,75.16,1,0,88.71,86.78,80.71,70.26,70.92,65.52,84.23,68.53,60.06,74.76,63.93,77.0,71.95,35.23,72.58,3,83.29,78.79,79.76,67.64,32.63,1,1,0,40.6,32.99,64.6,68.49,Low,Low,High,Routine Academic Mentoring & Growth Tracking,Cloud Solutions Architect,Google Cloud Professional Cloud Architect,Academic Support & Catch-Up Track
STU202608004,Civil Engineering,Environmental Engineering,First Year,1,Female,8.71,8.39,Upward,0,74.01,81.81,99.03,81.48,16.43,92.35,3,Declining,23,76.9,78.84,80.64,19,29.79,1,2,60.15,35.29,0,Partial Scholarship,13.94,5,74.88,0,0,64.01,55.62,63.13,41.11,62.65,60.75,72.61,54.77,40.91,71.46,66.89,40.41,51.25,41.4,60.94,2,62.6,62.15,57.0,41.84,31.73,0,2,2,56.23,41.56,70.42,61.05,Low,Low,High,Routine Academic Mentoring & Growth Tracking,Structural & Infrastructure Planner,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
STU202608005,Information Technology,Enterprise Systems,Second Year,3,Male,7.41,7.37,Downward,3,81.62,82.82,69.06,76.86,66.59,77.93,10,Stable,14,80.35,66.49,73.28,18,44.33,2,3,47.62,46.32,0,No Scholarship,33.92,6,65.23,0,0,70.45,70.0,66.61,69.59,65.32,62.1,64.05,47.68,62.59,62.75,59.86,67.15,64.36,70.83,68.19,2,73.93,90.9,70.58,59.33,18.11,0,0,2,66.07,89.04,45.56,48.03,High,Medium,Critical,Mandatory Peer Tutoring & Weekly Mentor Review,Full Stack Software Engineer,Microsoft Certified: Azure Developer Associate,Academic Support & Catch-Up Track
STU202608006,Information Technology,Data Analytics,Final Year,8,Male,8.21,7.79,Stable,0,80.98,80.51,90.15,73.04,18.76,81.63,8,Stable,15,90.1,76.85,86.26,25,49.96,1,5,45.77,28.73,0,Partial Scholarship,34.75,5,63.62,0,1,52.54,51.47,44.01,90.38,63.68,71.3,77.3,52.57,84.26,76.23,78.68,45.12,72.71,83.6,66.25,5,78.29,74.04,55.84,75.15,77.09,2,0,0,59.44,51.91,60.18,73.42,Low,Low,Low,Routine Academic Mentoring & Growth Tracking,AI/ML Research Specialist,AWS Certified Machine Learning Specialty,Placement Fast Track
STU202608007,Electronics & Telecommunication,Signal Processing,Second Year,3,Female,6.09,5.74,Stable,0,62.65,68.29,60.8,64.82,28.56,69.62,14,Declining,10,65.79,49.78,61.39,9,62.47,1,1,56.81,61.69,21,No Scholarship,42.84,6,38.35,4,0,71.52,66.89,74.29,32.31,58.55,42.23,50.65,43.02,50.69,50.81,55.21,65.47,46.97,45.84,48.7,1,59.12,62.66,66.1,36.57,19.91,0,0,0,51.7,38.4,34.19,44.98,Low,Low,Critical,Routine Academic Mentoring & Growth Tracking,Core Electrical Grid Engineer,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
STU202608008,Computer Engineering,Cloud Computing,Second Year,3,Male,7.99,8.01,Upward,0,80.95,78.34,87.83,79.11,19.83,90.3,4,Stable,14,86.57,91.06,81.46,19,42.23,2,2,41.32,44.74,34,No Scholarship,45.81,5,64.62,0,0,47.51,42.39,50.22,62.01,59.09,53.68,62.36,53.52,55.71,41.14,41.7,49.1,50.1,40.49,52.97,2,57.84,50.47,47.04,61.43,30.54,2,1,1,45.84,53.64,53.21,80.35,Low,Low,High,Routine Academic Mentoring & Growth Tracking,IT Systems Consultant,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
STU202608009,Electronics & Telecommunication,Signal Processing,Final Year,8,Female,9.39,10.0,Stable,0,89.76,92.13,95.15,75.66,8.35,100.0,0,Stable,22,93.12,86.53,100.0,26,52.0,3,2,61.96,53.32,0,Partial Scholarship,40.49,5,69.77,0,0,68.54,59.33,62.19,58.67,77.47,64.58,77.5,57.05,49.18,73.25,62.41,67.31,75.8,55.73,73.76,1,65.57,68.88,74.96,73.39,78.92,2,0,0,76.41,42.38,70.91,90.62,Low,Low,Low,Routine Academic Mentoring & Growth Tracking,Core Electrical Grid Engineer,Project Management Professional (PMP) Baseline,Placement Fast Track
STU202608010,AI & Data Science,Business Intelligence,Final Year,7,Male,8.83,8.47,Stable,0,83.84,91.33,97.73,89.1,15.2,93.44,3,Improving,20,86.58,85.35,83.88,21,41.13,1,5,54.88,32.04,0,Partial Scholarship,32.18,5,84.19,1,0,51.42,49.65,52.98,93.24,82.04,82.54,90.19,71.79,100.0,82.25,79.17,60.96,73.6,74.38,74.04,6,94.9,67.68,55.7,72.9,73.48,1,2,0,79.06,39.19,79.47,88.69,Low,Low,Low,Routine Academic Mentoring & Growth Tracking,AI/ML Research Specialist,AWS Certified Machine Learning Specialty,Placement Fast Track
STU202608011,Information Technology,Enterprise Systems,Second Year,3,Female,7.3,6.78,Downward,0,67.25,85.34,80.82,71.52,22.18,72.42,12,Stable,23,89.23,65.91,72.24,19,31.59,2,3,37.77,43.72,3,No Scholarship,46.17,6,67.43,3,1,67.02,63.72,59.46,64.7,49.05,43.03,59.49,47.56,53.81,67.76,50.05,63.56,55.23,41.32,62.62,2,70.31,65.85,58.62,48.77,27.35,0,2,1,46.92,51.18,53.82,52.33,Low,Low,High,Routine Academic Mentoring & Growth Tracking,IT Systems Consultant,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
STU202608012,AI & ML,Computer Vision,Second Year,3,Male,8.26,7.99,Stable,0,72.9,91.88,85.19,69.43,9.17,92.02,4,Stable,18,83.12,79.47,75.58,18,81.82,0,5,82.53,80.41,2,Partial Scholarship,27.14,5,76.31,0,1,90.14,88.98,84.77,68.54,78.31,63.36,57.59,52.84,83.27,57.7,70.81,85.73,59.5,66.93,71.47,1,67.05,85.31,91.06,60.42,33.26,0,0,0,71.71,50.01,55.07,74.4,Low,Low,High,Routine Academic Mentoring & Growth Tracking,Full Stack Software Engineer,Microsoft Certified: Azure Developer Associate,Entrepreneurship Track
STU202608013,Civil Engineering,Environmental Engineering,Third Year,6,Female,8.17,8.36,Stable,1,92.48,95.34,77.8,70.97,20.35,92.48,3,Stable,15,88.74,85.23,90.18,28,55.86,1,3,62.01,41.82,4,Partial Scholarship,37.77,5,74.05,2,0,54.88,53.09,43.67,33.09,78.06,53.33,69.53,37.89,35.6,50.06,75.78,50.84,58.95,27.96,44.97,4,62.51,50.42,57.89,42.19,47.67,0,0,0,82.1,42.94,80.65,77.97,Low,Low,Medium,Routine Academic Mentoring & Growth Tracking,Structural & Infrastructure Planner,Project Management Professional (PMP) Baseline,Academic Support & Catch-Up Track
